"","logFC","AveExpr","t","P.Value","adj.P.Val","B","negLog10FDR"
"ILMN_3006575",-0.878696205833335,11.4706352104167,-12.2435498842928,5.65784896654845e-12,7.04005154302541e-10,17.3888267357275,9.15242416120312
"ILMN_1245307",0.418920577249999,9.19382982854166,12.2260801444437,5.83256285545855e-12,7.19433948736344e-10,17.3580584558999,9.14300907249333
"ILMN_2688257",-1.01845936141667,9.89799703670833,-12.2056815086981,6.04365033069598e-12,7.39044654663124e-10,17.3220897207189,9.13132931980831
"ILMN_2900827",1.39778955716667,10.7816489705833,12.1674852537786,6.46042342326064e-12,7.83257318452583e-10,17.254616691149,9.10609553854811
"ILMN_3119954",0.635546059166666,10.11828216875,12.1494421562064,6.66752783639463e-12,8.01515952197101e-10,17.2226884797319,9.09608782966388
"ILMN_2962958",0.807802282499999,14.3237439470833,12.1341745931859,6.84813320725402e-12,8.16308987772255e-10,17.1956439080056,9.08814542178013
"ILMN_1256907",0.607891743333332,9.64671983083333,12.1206402045616,7.01246577275893e-12,8.28931891554878e-10,17.1716480899009,9.0814811514003
"ILMN_1239134",0.9422627,12.3443720525,12.097406913717,7.30413554129952e-12,8.56274071515155e-10,17.1304097393947,9.06738720647265
"ILMN_2679662",-1.10339380191667,10.4750294932083,-11.9856057698313,8.89363095019803e-12,1.03406684449639e-09,16.9311349762186,8.98545138652485
"ILMN_1258136",-0.733326037500001,10.3109495945833,-11.94422540313,9.56917020458148e-12,1.10356649879665e-09,16.8570277478552,8.95720149196287
"ILMN_2678431",0.393711011666666,9.31575432125,11.9179703264083,1.00251011925748e-11,1.14511145034174e-09,16.8099093529125,8.94115224265778
"ILMN_2654495",0.652283077416666,9.879377603625,11.9142854169241,1.00908657943404e-11,1.14511145034174e-09,16.8032901234079,8.94115224265778
"ILMN_2590185",-0.722292116666667,9.38717347875,-11.8598285816616,1.11164843571697e-11,1.25148675084486e-09,16.7052921396929,8.90257374379082
"ILMN_1235372",-1.05989059325,9.51701320820833,-11.83507383636,1.16177762176274e-11,1.29762327281137e-09,16.6606349294616,8.8868513740123
"ILMN_2602139",-0.736425949000001,9.21231224533333,-11.8071401401459,1.22116070989054e-11,1.35329411482791e-09,16.6101603434942,8.86860780682766
"ILMN_2944601",1.2445996875,12.7841870870833,11.7548547140921,1.3408941166387e-11,1.47446380190078e-09,16.5154475438129,8.83136588491464
"ILMN_2668886",-0.503278644583334,9.639545946375,-11.7086275576823,1.45685514263844e-11,1.58965309217895e-09,16.4314518993511,8.79869764083074
"ILMN_3160771",-0.559846142166667,9.25071220841667,-11.6798451212398,1.53424819255476e-11,1.66132142071673e-09,16.379031333379,8.77954633519508
"ILMN_2758545",0.307068156666665,9.07938528875,11.650999721173,1.61608192042523e-11,1.73667591221454e-09,16.326401656084,8.76028121935887
"ILMN_2734142",-0.578361729250001,9.583549837875,-11.6378013059902,1.65501738391533e-11,1.7651444805142e-09,16.3022889937977,8.75321974097191
"ILMN_2764607",-0.881655314666668,9.7390564685,-11.6300779266387,1.67824989207103e-11,1.77656527753937e-09,16.2881696634325,8.75041883030564
"ILMN_2596713",-0.775127164750001,9.95302180679167,-11.5657976059141,1.88518387721265e-11,1.98083950357492e-09,16.1703926011407,8.70315071150613
"ILMN_3162060",0.692928369166666,9.68631008208334,11.5576879599056,1.91310349423871e-11,1.99539507836589e-09,16.1555001697676,8.69997110330201
"ILMN_2726905",1.33473924508333,10.2970659932917,11.4887918039032,2.16824160687914e-11,2.24500052507887e-09,16.0286755160266,8.64878355308434
"ILMN_2619620",-0.766080398250002,10.3981903292083,-11.4661324506463,2.25963902323401e-11,2.32267967714308e-09,15.9868444854627,8.63401068001528
"ILMN_2984219",1.07187010141667,10.3112391442917,11.3978894645453,2.55972058229583e-11,2.61220406186089e-09,15.8605035367898,8.58299289957211
"ILMN_2531520",0.563003417499999,9.33505756291667,11.3925698892059,2.58477842410797e-11,2.61893442471225e-09,15.8506325075691,8.58187537570312
"ILMN_3029727",1.00477127766667,10.5536633261667,11.3064326183096,3.02775944555389e-11,3.04601189611219e-09,15.6903371706266,8.51626840487201
"ILMN_2690256",-0.914432022666668,10.6303655911667,-11.2819770979841,3.16731748456751e-11,3.16397172666128e-09,15.6446692745543,8.4997674060245
"ILMN_2678389",-0.472712491166668,9.06274403191667,-11.1446959460978,4.08407980362635e-11,4.05123580520558e-09,15.3870079088349,8.39241247764605
"ILMN_1233836",-0.570743240833335,12.2692370220833,-11.1263547040465,4.22585716831354e-11,4.16276277309219e-09,15.3524150040631,8.38061833791759
"ILMN_1238801",-1.64945006758334,10.8271577262083,-11.1124218144806,4.33694980484795e-11,4.24273330908746e-09,15.3261099216035,8.37235426637899
"ILMN_2969845",-0.800808792583334,9.177583726875,-10.9420008235443,5.96776874188076e-11,5.79813695914922e-09,15.0024866103045,8.23671153028833
"ILMN_2715840",-0.576251191833334,10.22785988575,-10.9145745432296,6.28431119315752e-11,6.06414654931561e-09,14.9500802813214,8.21723031186313
"ILMN_2870549",-0.565677215500001,9.79431562775,-10.901277336126,6.4439740261512e-11,6.17620078114559e-09,14.924639306395,8.20927859403142
"ILMN_2597332",-0.396677444500001,9.04168055858334,-10.8875336915706,6.61340446689986e-11,6.29604982301842e-09,14.8983217945068,8.20093184389925
"ILMN_2750402",-0.844005098916668,10.678938216375,-10.8748764030416,6.77351193268104e-11,6.40548445100537e-09,14.8740643818303,8.19344801869961
"ILMN_2605512",0.431441093166666,9.19762300208333,10.8301709896364,7.37177406670348e-11,6.92507385007873e-09,14.7882325669167,8.15957559085403
"ILMN_1247919",-0.470021861000001,9.06659135158333,-10.8141321935153,7.59948747558056e-11,7.09202170007305e-09,14.7573800606318,8.14922994422064
"ILMN_3071764",0.525037941166666,10.05520328525,10.654495084933,1.0303959386339e-10,9.55304992779207e-09,14.4485940143688,8.01985795246382
"ILMN_2889832",0.505618214583333,9.08840052004166,10.6278233499395,1.08448240821372e-10,9.98920971461794e-09,14.3966993164934,8.00046886914707
"ILMN_2608145",0.453991374333333,9.26401692866667,10.6026245606132,1.13827600128079e-10,1.04170613407536e-08,14.3475902734448,7.98225477849259
"ILMN_1240019",-0.335124040083334,9.07080309579167,-10.5756130955916,1.19900646223023e-10,1.09025042735486e-08,14.294861855882,7.96247373442035
"ILMN_1226295",0.401507141916666,9.54230108879167,10.5268290192503,1.31730697417465e-10,1.19019104641193e-08,14.1994037969521,7.92438332117635
"ILMN_1235657",0.676784859833332,10.4694835834167,10.4497737742619,1.5292792387525e-10,1.37296367099394e-08,14.0480267054057,7.86234095416572
"ILMN_2984110",0.949396962833333,10.13036495525,10.4422854209547,1.55167462533572e-10,1.38430846291743e-08,14.0332763791411,7.85876712605241
"ILMN_2762728",-0.897923983333335,11.969405645,-10.3915788096122,1.71250395788539e-10,1.51824179016276e-08,13.9332125691909,7.81865905863066
"ILMN_1221102",-0.825350690000001,9.55188240775,-10.370778955284,1.78336334711131e-10,1.57124279992385e-08,13.8920737476933,7.80375669941609
"ILMN_3160963",-0.671642295833334,11.37344058625,-10.2868574901179,2.10143248070857e-10,1.83497566240215e-08,13.7255411911193,7.73636969149611
"ILMN_2731331",-0.329139100666668,9.01379090266666,-10.2851275958757,2.10857266811103e-10,1.83497566240215e-08,13.7220991346714,7.73636969149611
"ILMN_1214731",-0.436517150000001,9.26216010758333,-10.230435441778,2.34771119807747e-10,2.03062703321518e-08,13.6130816403533,7.69236983646271
"ILMN_2722129",-0.339088879666667,9.14861838791667,-10.2173051518901,2.40918035468846e-10,2.07116505037914e-08,13.5868531183197,7.68378529096037
"ILMN_2531773",0.979788745249999,10.2579494282083,10.1464780050438,2.77060918612373e-10,2.36753562079308e-08,13.4449967511369,7.62570347809132
"ILMN_2783557",-0.296074885166667,8.99407504183334,-10.1224309326313,2.90567390393813e-10,2.46808289385404e-08,13.3966898228422,7.60764025803473
"ILMN_1251524",-0.522737745583334,9.22340522004167,-10.1057868138795,3.00312065280185e-10,2.5356706226187e-08,13.3632114160825,7.59590716091234
"ILMN_2763839",-0.292683274916668,8.975519437125,-10.0754809660913,3.18930245725673e-10,2.67693818675661e-08,13.302163226094,7.5723616570015
"ILMN_2846255",-0.3597178155,9.50548712675,-10.0612131574325,3.28103814886107e-10,2.73773683185849e-08,13.2733817330874,7.56260830125855
"ILMN_2769656",-1.51874521275,10.521858058875,-10.048201444752,3.36707010077887e-10,2.79309294617241e-08,13.247111518494,7.55391461197599
"ILMN_2988480",0.611612157999999,9.7960230555,10.033154180547,3.46946817781383e-10,2.86130268036565e-08,13.2167047377327,7.54343619830814
"ILMN_2717621",-0.730675755000001,10.559810875,-10.0275214307295,3.50862092455779e-10,2.87686634767932e-08,13.2053149366022,7.54108031392255
"ILMN_2998738",-0.330396582166668,9.00244610141667,-10.022093417352,3.5467817460264e-10,2.89144247513704e-08,13.1943353033859,7.53888544350532
"ILMN_1219169",0.578835702499999,11.10638260875,10.0181999665045,3.57441746760968e-10,2.89732067303104e-08,13.1864574285879,7.53800343478566
"ILMN_2659680",0.60175688675,9.098665192125,9.99510936130401,3.74294180378596e-10,3.0113073080366e-08,13.1396969808351,7.5212449218787
"ILMN_2971043",0.443467919916666,8.96493025345833,9.99316517785769,3.75750013057793e-10,3.0113073080366e-08,13.1357567397102,7.5212449218787
"ILMN_2944843",-0.970017692500002,11.3032941445833,-9.97288795992804,3.91286512667588e-10,3.11820178774704e-08,13.0946325167307,7.50609578380098
"ILMN_1225570",0.383855476749999,9.000667233625,9.95075664531894,4.09001620670213e-10,3.2411664744173e-08,13.0496880568362,7.48929866194402
"ILMN_2805339",-0.780333618833335,10.2235400205833,-9.87956268574444,4.71808978274284e-10,3.7181168649004e-08,12.9046815607502,7.42967696394988
"ILMN_1216262",-0.377905417916667,9.60358100304167,-9.84979443823726,5.00943803949157e-10,3.92590489448552e-08,12.8438574126002,7.40606022544422
"ILMN_1243179",-0.306311488833335,8.988735569,-9.82982916780672,5.21517972699852e-10,4.06468815535572e-08,12.8029994431923,7.39097276805351
"ILMN_1251839",-0.296510955333334,8.96844583583333,-9.8121253046526,5.4049015878617e-10,4.18891334599454e-08,12.7667264287885,7.37789862358379
"ILMN_1247358",-0.290863049500001,9.06705936475,-9.80950071415197,5.43362746325692e-10,4.18891334599454e-08,12.7613455341738,7.37789862358379
"ILMN_2891646",-0.528764173916668,10.0102290972083,-9.80501241965601,5.48311661532933e-10,4.20008665270057e-08,12.7521416464147,7.37674174950651
"ILMN_2924243",0.767910185833332,11.1841229645833,9.80283077820814,5.50733956575472e-10,4.20008665270057e-08,12.7476669422198,7.37674174950651
"ILMN_2609813",0.519391043916665,10.0443287447083,9.79400465743814,5.60646808849893e-10,4.25282084681055e-08,12.7295576708301,7.37132291187341
"ILMN_1260038",-0.700392259916668,9.24662670195833,-9.7906699929674,5.64439768144796e-10,4.25881814422018e-08,12.7227130543734,7.37071090433759
"ILMN_1220310",-0.396904905833334,9.00466895425,-9.77145535917127,5.86816460575412e-10,4.40422830331334e-08,12.6832458258427,7.35613017646248
"ILMN_3161679",-1.54660647191667,10.0715052119583,-9.70261130482546,6.74783400656079e-10,5.03779080963499e-08,12.541447323487,7.29775987020579
